Filepath,MfccPath,Emotion
./dataset/mlend/MLEndSND_Public/11093.wav,mfccs/11093_mfcc.pt,Question
./dataset/crema-d/AudioWAV/1011_TAI_ANG_XX.wav,mfccs/1011_TAI_ANG_XX_mfcc.pt,Anger
./dataset/mlend/MLEndSND_Public/27019.wav,mfccs/27019_mfcc.pt,Neutral
./dataset/mlend/MLEndSND_Public/23420.wav,mfccs/23420_mfcc.pt,Bored
./dataset/crema-d/AudioWAV/1077_ITH_ANG_XX.wav,mfccs/1077_ITH_ANG_XX_mfcc.pt,Anger
./dataset/tess/YAF_fear/YAF_pad_fear.wav,mfccs/YAF_pad_fear_mfcc.pt,Fear
./dataset/meld/train/dia954_utt2.mp4,mfccs/dia954_utt2_mfcc.pt,Neutral
./dataset/tess/OAF_angry/OAF_check_angry.wav,mfccs/OAF_check_angry_mfcc.pt,Anger
./dataset/mlend/MLEndSND_Public/01160.wav,mfccs/01160_mfcc.pt,Neutral
./dataset/mlend/MLEndSND_Public/08931.wav,mfccs/08931_mfcc.pt,Bored
./dataset/meld/train/dia110_utt0.mp4,mfccs/dia110_utt0_mfcc.pt,Neutral
./dataset/crema-d/AudioWAV/1079_TSI_SAD_XX.wav,mfccs/1079_TSI_SAD_XX_mfcc.pt,Sad
./dataset/esd/0014/Neutral/0014_000216.wav,mfccs/0014_000216_mfcc.pt,Neutral
./dataset/mlend/MLEndSND_Public/20933.wav,mfccs/20933_mfcc.pt,Neutral
./dataset/mlend/MLEndSND_Public/32461.wav,mfccs/32461_mfcc.pt,Neutral
./dataset/crema-d/AudioWAV/1009_ITS_DIS_XX.wav,mfccs/1009_ITS_DIS_XX_mfcc.pt,Disgust
./dataset/mlend/MLEndSND_Public/00304.wav,mfccs/00304_mfcc.pt,Neutral
./dataset/meld/train/dia915_utt5.mp4,mfccs/dia915_utt5_mfcc.pt,Neutral
./dataset/meld/train/dia562_utt6.mp4,mfccs/dia562_utt6_mfcc.pt,Neutral
./dataset/mlend/MLEndSND_Public/21215.wav,mfccs/21215_mfcc.pt,Happy
./dataset/esd/0019/Neutral/0019_000063.wav,mfccs/0019_000063_mfcc.pt,Neutral
./dataset/crema-d/AudioWAV/1017_IEO_FEA_LO.wav,mfccs/1017_IEO_FEA_LO_mfcc.pt,Fear
./dataset/esd/0016/Surprise/0016_001661.wav,mfccs/0016_001661_mfcc.pt,Surprise
./dataset/tess/YAF_angry/YAF_live_angry.wav,mfccs/YAF_live_angry_mfcc.pt,Anger
./dataset/ravdess/Actor_16/03-01-03-01-02-02-16.wav,mfccs/03-01-03-01-02-02-16_mfcc.pt,Happy
./dataset/esd/0018/Surprise/0018_001552.wav,mfccs/0018_001552_mfcc.pt,Surprise
./dataset/mlend/MLEndSND_Public/09988.wav,mfccs/09988_mfcc.pt,Bored
./dataset/esd/0019/Sad/0019_001386.wav,mfccs/0019_001386_mfcc.pt,Sad
./dataset/mlend/MLEndSND_Public/28053.wav,mfccs/28053_mfcc.pt,Bored
./dataset/mlend/MLEndSND_Public/07002.wav,mfccs/07002_mfcc.pt,Question
./dataset/meld/train/dia827_utt1.mp4,mfccs/dia827_utt1_mfcc.pt,Happy
./dataset/meld/train/dia961_utt3.mp4,mfccs/dia961_utt3_mfcc.pt,Anger
./dataset/esd/0020/Angry/0020_000669.wav,mfccs/0020_000669_mfcc.pt,Anger
./dataset/mlend/MLEndSND_Public/27233.wav,mfccs/27233_mfcc.pt,Question
./dataset/mlend/MLEndSND_Public/04728.wav,mfccs/04728_mfcc.pt,Happy
./dataset/crema-d/AudioWAV/1073_DFA_DIS_XX.wav,mfccs/1073_DFA_DIS_XX_mfcc.pt,Disgust
